label	seed	top_k	universe_genes	truth_genes	overlap	precision	recall	expected_random	fold_enrichment	hypergeom_pvalue	score_family	selected_candidate
rbp_trace_v2_score_repeat	1289457136	100	55382	85	1	0.01	0.011764705882352941	0.1534794698638547	6.515529411764706	0.14250070729653172	rbp_trace_v2_score_repeat	rbp_trace_v2_score_repeat__beta_0.1
rbp_trace_v2_score_repeat	1289457136	200	55382	85	2	0.01	0.023529411764705882	0.3069589397277094	6.515529411764706	0.03809108791724583	rbp_trace_v2_score_repeat	rbp_trace_v2_score_repeat__beta_0.1
rbp_trace_v2_score_repeat	1289457136	500	55382	85	6	0.012	0.07058823529411765	0.7673973493192734	7.818635294117647	0.00012580221791490557	rbp_trace_v2_score_repeat	rbp_trace_v2_score_repeat__beta_0.1
rbp_trace_v2_score_repeat	1289457136	1000	55382	85	16	0.016	0.18823529411764706	1.5347946986385468	10.424847058823529	2.7913285098061328e-12	rbp_trace_v2_score_repeat	rbp_trace_v2_score_repeat__beta_0.1
rbp_trace_v2_score_hairpin	1289457136	50	55382	85	0	0.0	0.0	0.07673973493192734	0.0	1.0	rbp_trace_v2_score_hairpin	rbp_trace_v2_score_hairpin__beta_0.5
rbp_trace_v2_score_hairpin	1289457136	100	55382	85	6	0.06	0.07058823529411765	0.1534794698638547	39.09317647058823	1.1599500884566093e-08	rbp_trace_v2_score_hairpin	rbp_trace_v2_score_hairpin__beta_0.5
rbp_trace_v2_score_hairpin	1289457136	200	55382	85	6	0.03	0.07058823529411765	0.3069589397277094	19.546588235294116	7.096701621300616e-07	rbp_trace_v2_score_hairpin	rbp_trace_v2_score_hairpin__beta_0.5
rbp_trace_v2_score_hairpin	1289457136	500	55382	85	8	0.016	0.09411764705882353	0.7673973493192734	10.424847058823529	1.0931368718162731e-06	rbp_trace_v2_score_hairpin	rbp_trace_v2_score_hairpin__beta_0.5
rbp_trace_v2_score_hairpin	1289457136	1000	55382	85	11	0.011	0.12941176470588237	1.5347946986385468	7.1670823529411765	3.9813967814760067e-07	rbp_trace_v2_score_hairpin	rbp_trace_v2_score_hairpin__beta_0.5
rbp_trace_v2_score_all_context	1289457136	50	55382	85	0	0.0	0.0	0.07673973493192734	0.0	1.0	rbp_trace_v2_score_all_context	rbp_trace_v2_score_all_context__beta_region_0.5__beta_repeat_0.1__beta_hairpin_0.5
rbp_trace_v2_score_all_context	1289457136	100	55382	85	4	0.04	0.047058823529411764	0.1534794698638547	26.062117647058823	1.810712769027053e-05	rbp_trace_v2_score_all_context	rbp_trace_v2_score_all_context__beta_region_0.5__beta_repeat_0.1__beta_hairpin_0.5
rbp_trace_v2_score_all_context	1289457136	200	55382	85	7	0.035	0.08235294117647059	0.3069589397277094	22.804352941176468	2.8036287197230294e-08	rbp_trace_v2_score_all_context	rbp_trace_v2_score_all_context__beta_region_0.5__beta_repeat_0.1__beta_hairpin_0.5
rbp_trace_v2_score_all_context	1289457136	500	55382	85	9	0.018	0.10588235294117647	0.7673973493192734	11.72795294117647	8.319009241327734e-08	rbp_trace_v2_score_all_context	rbp_trace_v2_score_all_context__beta_region_0.5__beta_repeat_0.1__beta_hairpin_0.5
