seed	model_name	feature_name	coefficient	abs_coefficient
336362904	logistic_elasticnet	max_U_homopolymer_len_max	0.5922800427771211	0.5922800427771211
336362904	logistic_elasticnet	shannon_entropy_top3	0.1554952123798719	0.1554952123798719
336362904	logistic_elasticnet	low_complexity_score_top3	-0.1554952123798596	0.1554952123798596
336362904	logistic_elasticnet	UUUUUUU_count_max	-0.4270451700720589	0.4270451700720589
336362904	logistic_elasticnet	top_Urich_kmer_density_top3	-0.022066468374928903	0.022066468374928903
336362904	logistic_elasticnet	n_windows	0.03965715609393222	0.03965715609393222
336362904	logistic_elasticnet	log1p_n_windows	-0.4341309078853484	0.4341309078853484
336362904	logistic_elasticnet	n_windows_bin_code	-0.18305682769301648	0.18305682769301648
336362904	logistic_elasticnet	n_high_score_windows_0.9	0.30298707471427755	0.30298707471427755
336362904	logistic_elasticnet	n_high_score_windows_0.95	0.0	0.0
336362904	logistic_elasticnet	fraction_high_score_windows_0.9	0.5581417518148472	0.5581417518148472
336362904	logistic_elasticnet	fraction_high_score_windows_0.95	-1.0020085445047557	1.0020085445047557
1989451307	logistic_l2	max_score	-0.01192800364333774	0.01192800364333774
1989451307	logistic_l2	top3_mean_score	0.1489829498222662	0.1489829498222662
1989451307	logistic_l2	top5_mean_score	0.1342858682872416	0.1342858682872416
1989451307	logistic_l2	top10_mean_score	0.9048821117755215	0.9048821117755215
1989451307	logistic_l2	top5_percent_mean_score	-0.05340210034879379	0.05340210034879379
1989451307	logistic_l2	max_base_score	0.05425405407653699	0.05425405407653699
1989451307	logistic_l2	min_base_score	0.07871017417227101	0.07871017417227101
1989451307	logistic_l2	mean_top3_inverted_base_score	-0.41294179472577724	0.41294179472577724
1989451307	logistic_l2	mean_top5_inverted_base_score	-0.017876482237454562	0.017876482237454562
1989451307	logistic_l2	top3_motif_score	-0.2552537519475461	0.2552537519475461
1989451307	logistic_l2	top5_motif_score	-0.783751143039131	0.783751143039131
1989451307	logistic_l2	max_motif_score	0.09343962193727973	0.09343962193727973
1989451307	logistic_l2	motif_positive_fraction_top3_mean	0.07760363269331985	0.07760363269331985
1989451307	logistic_l2	top3_structure_score	-0.34385634952996874	0.34385634952996874
1989451307	logistic_l2	top5_structure_score	-0.04443280637655437	0.04443280637655437
1989451307	logistic_l2	max_structure_score	0.5905374426338997	0.5905374426338997
1989451307	logistic_l2	top3_paired_probability_mean	0.03575372682849484	0.03575372682849484
1989451307	logistic_l2	top3_fraction_high_paired	0.20788346040441358	0.20788346040441358
1989451307	logistic_l2	local_41nt_paired_mean_top3	0.5380887619881729	0.5380887619881729
1989451307	logistic_l2	local_81nt_paired_mean_top3	-0.6936043681096287	0.6936043681096287
1989451307	logistic_l2	longest_high_paired_run_max	-0.00942257283916987	0.00942257283916987
1989451307	logistic_l2	paired_run_density_top3	0.20788346040441358	0.20788346040441358
1989451307	logistic_l2	reverse_complement_kmer_pair_density_top3	-0.013769633826201525	0.013769633826201525
1989451307	logistic_l2	AU_rich_paired_density_top3	0.28152754152391335	0.28152754152391335
1989451307	logistic_l2	U_rich_paired_density_top3	0.19675516655392405	0.19675516655392405
1989451307	logistic_l2	U_content_top3	-0.2229095299808811	0.2229095299808811
1989451307	logistic_l2	UC_content_top3	0.14857019843731656	0.14857019843731656
1989451307	logistic_l2	AU_content_top3	0.7141264756256526	0.7141264756256526
1989451307	logistic_l2	max_U_homopolymer_len_max	0.8478921162721944	0.8478921162721944
1989451307	logistic_l2	shannon_entropy_top3	0.29068479490766524	0.29068479490766524
1989451307	logistic_l2	low_complexity_score_top3	-0.2906847949076386	0.2906847949076386
1989451307	logistic_l2	UUUUUUU_count_max	-0.6432384349115265	0.6432384349115265
1989451307	logistic_l2	top_Urich_kmer_density_top3	0.23634517350167308	0.23634517350167308
1989451307	logistic_l2	n_windows	0.09853588039812793	0.09853588039812793
1989451307	logistic_l2	log1p_n_windows	-0.7837816011424517	0.7837816011424517
1989451307	logistic_l2	n_windows_bin_code	-0.19606966421458824	0.19606966421458824
1989451307	logistic_l2	n_high_score_windows_0.9	0.41257047316544704	0.41257047316544704
1989451307	logistic_l2	n_high_score_windows_0.95	-0.13877112807931424	0.13877112807931424
1989451307	logistic_l2	fraction_high_score_windows_0.9	0.342816603231141	0.342816603231141
1989451307	logistic_l2	fraction_high_score_windows_0.95	-0.7284791048951549	0.7284791048951549
1989451307	logistic_elasticnet	max_score	0.0	0.0
1989451307	logistic_elasticnet	top3_mean_score	0.01795142145257264	0.01795142145257264
1989451307	logistic_elasticnet	top5_mean_score	0.021730874953850923	0.021730874953850923
1989451307	logistic_elasticnet	top10_mean_score	0.9467916854553532	0.9467916854553532
1989451307	logistic_elasticnet	top5_percent_mean_score	0.0	0.0
1989451307	logistic_elasticnet	max_base_score	0.04645318965026485	0.04645318965026485
1989451307	logistic_elasticnet	min_base_score	0.023705239919220942	0.023705239919220942
1989451307	logistic_elasticnet	mean_top3_inverted_base_score	-0.35560266153042336	0.35560266153042336
1989451307	logistic_elasticnet	mean_top5_inverted_base_score	0.0	0.0
1989451307	logistic_elasticnet	top3_motif_score	-0.1523574054305357	0.1523574054305357
1989451307	logistic_elasticnet	top5_motif_score	-0.7732885786839323	0.7732885786839323
1989451307	logistic_elasticnet	max_motif_score	0.07871487747562893	0.07871487747562893
1989451307	logistic_elasticnet	motif_positive_fraction_top3_mean	0.06994559993039459	0.06994559993039459
1989451307	logistic_elasticnet	top3_structure_score	-0.20138051259101872	0.20138051259101872
1989451307	logistic_elasticnet	top5_structure_score	-0.02674066893629858	0.02674066893629858
1989451307	logistic_elasticnet	max_structure_score	0.5866623706772097	0.5866623706772097
1989451307	logistic_elasticnet	top3_paired_probability_mean	-0.03511103613765701	0.03511103613765701
1989451307	logistic_elasticnet	top3_fraction_high_paired	0.16418530283444133	0.16418530283444133
1989451307	logistic_elasticnet	local_41nt_paired_mean_top3	0.5255556949057534	0.5255556949057534
1989451307	logistic_elasticnet	local_81nt_paired_mean_top3	-0.6825157404829809	0.6825157404829809
1989451307	logistic_elasticnet	longest_high_paired_run_max	0.0	0.0
1989451307	logistic_elasticnet	paired_run_density_top3	0.16418530283444133	0.16418530283444133
1989451307	logistic_elasticnet	reverse_complement_kmer_pair_density_top3	0.0	0.0
1989451307	logistic_elasticnet	AU_rich_paired_density_top3	0.27948586642096723	0.27948586642096723
1989451307	logistic_elasticnet	U_rich_paired_density_top3	0.1927127076963909	0.1927127076963909
1989451307	logistic_elasticnet	U_content_top3	-0.08783358341884243	0.08783358341884243
1989451307	logistic_elasticnet	UC_content_top3	0.09214472798122929	0.09214472798122929
1989451307	logistic_elasticnet	AU_content_top3	0.5891519573513246	0.5891519573513246
1989451307	logistic_elasticnet	max_U_homopolymer_len_max	0.8087478600745067	0.8087478600745067
1989451307	logistic_elasticnet	shannon_entropy_top3	0.2895249953626961	0.2895249953626961
1989451307	logistic_elasticnet	low_complexity_score_top3	-0.2895249953626464	0.2895249953626464
1989451307	logistic_elasticnet	UUUUUUU_count_max	-0.6166444617319848	0.6166444617319848
1989451307	logistic_elasticnet	top_Urich_kmer_density_top3	0.19939195960100164	0.19939195960100164
1989451307	logistic_elasticnet	n_windows	0.07555045439445422	0.07555045439445422
1989451307	logistic_elasticnet	log1p_n_windows	-0.7498762129510703	0.7498762129510703
1989451307	logistic_elasticnet	n_windows_bin_code	-0.19764761253104923	0.19764761253104923
1989451307	logistic_elasticnet	n_high_score_windows_0.9	0.33736674611570744	0.33736674611570744
1989451307	logistic_elasticnet	n_high_score_windows_0.95	-0.06656366996799008	0.06656366996799008
1989451307	logistic_elasticnet	fraction_high_score_windows_0.9	0.34416431705680434	0.34416431705680434
1989451307	logistic_elasticnet	fraction_high_score_windows_0.95	-0.7509160230976092	0.7509160230976092
1289457136	logistic_l2	max_score	0.3702933783555287	0.3702933783555287
1289457136	logistic_l2	top3_mean_score	0.014711603026327654	0.014711603026327654
1289457136	logistic_l2	top5_mean_score	0.11054576986918434	0.11054576986918434
1289457136	logistic_l2	top10_mean_score	0.8534850177881782	0.8534850177881782
1289457136	logistic_l2	top5_percent_mean_score	0.23184595614017126	0.23184595614017126
1289457136	logistic_l2	max_base_score	0.16725243090771677	0.16725243090771677
1289457136	logistic_l2	min_base_score	0.3801697968868572	0.3801697968868572
1289457136	logistic_l2	mean_top3_inverted_base_score	-0.2209151023305481	0.2209151023305481
1289457136	logistic_l2	mean_top5_inverted_base_score	-0.49523391769991304	0.49523391769991304
1289457136	logistic_l2	top3_motif_score	-0.17987221355988764	0.17987221355988764
1289457136	logistic_l2	top5_motif_score	-0.9646091299786418	0.9646091299786418
1289457136	logistic_l2	max_motif_score	-0.03089349872949607	0.03089349872949607
1289457136	logistic_l2	motif_positive_fraction_top3_mean	0.17759704710526772	0.17759704710526772
1289457136	logistic_l2	top3_structure_score	-0.05036336364710466	0.05036336364710466
