seed	label	split_name	top_k	universe_genes	truth_genes	overlap	precision	recall	expected_random	fold_enrichment	hypergeom_pvalue	score_variant
336362904	A_branch_score	heldout	50	55382	85	0	0.0	0.0	0.07673973493192734	0.0	1.0	A_branch_score
336362904	A_branch_score	heldout	100	55382	85	3	0.03	0.03529411764705882	0.1534794698638547	19.546588235294116	0.0005066767547709261	A_branch_score
336362904	A_branch_score	heldout	200	55382	85	5	0.025	0.058823529411764705	0.3069589397277094	16.288823529411765	1.5155851473831538e-05	A_branch_score
336362904	A_branch_score	heldout	500	55382	85	9	0.018	0.10588235294117647	0.7673973493192734	11.72795294117647	8.319009241327734e-08	A_branch_score
336362904	A_branch_score	heldout	1000	55382	85	16	0.016	0.18823529411764706	1.5347946986385468	10.424847058823529	2.7913285098061328e-12	A_branch_score
336362904	B_branch_score	heldout	50	55382	85	0	0.0	0.0	0.07673973493192734	0.0	1.0	B_branch_score
336362904	B_branch_score	heldout	100	55382	85	1	0.01	0.011764705882352941	0.1534794698638547	6.515529411764706	0.14250070729653172	B_branch_score
336362904	B_branch_score	heldout	200	55382	85	5	0.025	0.058823529411764705	0.3069589397277094	16.288823529411765	1.5155851473831538e-05	B_branch_score
336362904	B_branch_score	heldout	500	55382	85	9	0.018	0.10588235294117647	0.7673973493192734	11.72795294117647	8.319009241327734e-08	B_branch_score
336362904	B_branch_score	heldout	1000	55382	85	11	0.011	0.12941176470588237	1.5347946986385468	7.1670823529411765	3.9813967814760067e-07	B_branch_score
336362904	final_score_max	heldout	50	55382	85	0	0.0	0.0	0.07673973493192734	0.0	1.0	final_score_max
336362904	final_score_max	heldout	100	55382	85	3	0.03	0.03529411764705882	0.1534794698638547	19.546588235294116	0.0005066767547709261	final_score_max
336362904	final_score_max	heldout	200	55382	85	5	0.025	0.058823529411764705	0.3069589397277094	16.288823529411765	1.5155851473831538e-05	final_score_max
336362904	final_score_max	heldout	500	55382	85	9	0.018	0.10588235294117647	0.7673973493192734	11.72795294117647	8.319009241327734e-08	final_score_max
336362904	final_score_max	heldout	1000	55382	85	16	0.016	0.18823529411764706	1.5347946986385468	10.424847058823529	2.7913285098061328e-12	final_score_max
336362904	final_score_0.7A_0.3B	heldout	50	55382	85	0	0.0	0.0	0.07673973493192734	0.0	1.0	final_score_0.7A_0.3B
336362904	final_score_0.7A_0.3B	heldout	100	55382	85	2	0.02	0.023529411764705882	0.1534794698638547	13.031058823529412	0.010453459425604047	final_score_0.7A_0.3B
336362904	final_score_0.7A_0.3B	heldout	200	55382	85	4	0.02	0.047058823529411764	0.3069589397277094	13.031058823529412	0.00026585296744680183	final_score_0.7A_0.3B
336362904	final_score_0.7A_0.3B	heldout	500	55382	85	9	0.018	0.10588235294117647	0.7673973493192734	11.72795294117647	8.319009241327734e-08	final_score_0.7A_0.3B
336362904	final_score_0.7A_0.3B	heldout	1000	55382	85	16	0.016	0.18823529411764706	1.5347946986385468	10.424847058823529	2.7913285098061328e-12	final_score_0.7A_0.3B
336362904	final_score_0.5A_0.5B	heldout	50	55382	85	0	0.0	0.0	0.07673973493192734	0.0	1.0	final_score_0.5A_0.5B
336362904	final_score_0.5A_0.5B	heldout	100	55382	85	2	0.02	0.023529411764705882	0.1534794698638547	13.031058823529412	0.010453459425604047	final_score_0.5A_0.5B
336362904	final_score_0.5A_0.5B	heldout	200	55382	85	6	0.03	0.07058823529411765	0.3069589397277094	19.546588235294116	7.096701621300616e-07	final_score_0.5A_0.5B
336362904	final_score_0.5A_0.5B	heldout	500	55382	85	10	0.02	0.11764705882352941	0.7673973493192734	13.031058823529412	5.621894708032004e-09	final_score_0.5A_0.5B
336362904	final_score_0.5A_0.5B	heldout	1000	55382	85	13	0.013	0.15294117647058825	1.5347946986385468	8.470188235294119	4.474962031553135e-09	final_score_0.5A_0.5B
336362904	final_score_0.3A_0.7B	heldout	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028	final_score_0.3A_0.7B
336362904	final_score_0.3A_0.7B	heldout	100	55382	85	2	0.02	0.023529411764705882	0.1534794698638547	13.031058823529412	0.010453459425604047	final_score_0.3A_0.7B
336362904	final_score_0.3A_0.7B	heldout	200	55382	85	6	0.03	0.07058823529411765	0.3069589397277094	19.546588235294116	7.096701621300616e-07	final_score_0.3A_0.7B
336362904	final_score_0.3A_0.7B	heldout	500	55382	85	10	0.02	0.11764705882352941	0.7673973493192734	13.031058823529412	5.621894708032004e-09	final_score_0.3A_0.7B
336362904	final_score_0.3A_0.7B	heldout	1000	55382	85	13	0.013	0.15294117647058825	1.5347946986385468	8.470188235294119	4.474962031553135e-09	final_score_0.3A_0.7B
1989451307	A_branch_score	heldout	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028	A_branch_score
1989451307	A_branch_score	heldout	100	55382	85	1	0.01	0.011764705882352941	0.1534794698638547	6.515529411764706	0.14250070729653172	A_branch_score
1989451307	A_branch_score	heldout	200	55382	85	3	0.015	0.03529411764705882	0.3069589397277094	9.773294117647058	0.0036863461672057792	A_branch_score
1989451307	A_branch_score	heldout	500	55382	85	4	0.008	0.047058823529411764	0.7673973493192734	5.2124235294117645	0.007476082914805606	A_branch_score
1989451307	A_branch_score	heldout	1000	55382	85	12	0.012	0.1411764705882353	1.5347946986385468	7.818635294117647	4.4219732872074625e-08	A_branch_score
1989451307	B_branch_score	heldout	50	55382	85	2	0.04	0.023529411764705882	0.07673973493192734	26.062117647058823	0.002718446297612528	B_branch_score
1989451307	B_branch_score	heldout	100	55382	85	3	0.03	0.03529411764705882	0.1534794698638547	19.546588235294116	0.0005066767547709261	B_branch_score
1989451307	B_branch_score	heldout	200	55382	85	5	0.025	0.058823529411764705	0.3069589397277094	16.288823529411765	1.5155851473831538e-05	B_branch_score
1989451307	B_branch_score	heldout	500	55382	85	7	0.014	0.08235294117647059	0.7673973493192734	9.121741176470588	1.2608221543409588e-05	B_branch_score
1989451307	B_branch_score	heldout	1000	55382	85	10	0.01	0.11764705882352941	1.5347946986385468	6.515529411764706	3.245648476373267e-06	B_branch_score
1989451307	final_score_max	heldout	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028	final_score_max
1989451307	final_score_max	heldout	100	55382	85	1	0.01	0.011764705882352941	0.1534794698638547	6.515529411764706	0.14250070729653172	final_score_max
1989451307	final_score_max	heldout	200	55382	85	3	0.015	0.03529411764705882	0.3069589397277094	9.773294117647058	0.0036863461672057792	final_score_max
1989451307	final_score_max	heldout	500	55382	85	4	0.008	0.047058823529411764	0.7673973493192734	5.2124235294117645	0.007476082914805606	final_score_max
1989451307	final_score_max	heldout	1000	55382	85	13	0.013	0.15294117647058825	1.5347946986385468	8.470188235294119	4.474962031553135e-09	final_score_max
1989451307	final_score_0.7A_0.3B	heldout	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028	final_score_0.7A_0.3B
1989451307	final_score_0.7A_0.3B	heldout	100	55382	85	3	0.03	0.03529411764705882	0.1534794698638547	19.546588235294116	0.0005066767547709261	final_score_0.7A_0.3B
