model_name	feature_name	mean_importance	median_importance
logistic_elasticnet	max_U_homopolymer_len_max	0.8812070009974766	0.8296783850529657
logistic_elasticnet	fraction_high_score_windows_0.95	0.8171052769599246	0.8304496349831688
logistic_elasticnet	top5_motif_score	0.7882140772219917	0.7763570116286975
logistic_elasticnet	top10_mean_score	0.7651754172221922	0.8561605108707486
logistic_elasticnet	UUUUUUU_count_max	0.6145843872636163	0.6034008281784775
logistic_elasticnet	log1p_n_windows	0.5213110445335394	0.4886862163132981
logistic_elasticnet	max_structure_score	0.49909653011876376	0.49649520730067465
logistic_elasticnet	fraction_high_score_windows_0.9	0.4350022228311185	0.4243086835655824
logistic_elasticnet	local_41nt_paired_mean_top3	0.4205441567570273	0.41615347749257164
logistic_elasticnet	mean_top5_inverted_base_score	0.40248720897663715	0.41689510156930665
logistic_elasticnet	local_81nt_paired_mean_top3	0.3521198229677293	0.3310950247579584
logistic_elasticnet	AU_rich_paired_density_top3	0.33932453201554547	0.34467322547236456
logistic_elasticnet	AU_content_top3	0.3168641533979245	0.3304053128552175
logistic_elasticnet	top3_paired_probability_mean	0.22399740623479752	0.20464449810639934
logistic_elasticnet	n_high_score_windows_0.9	0.20431620058857053	0.22342234974564065
logistic_elasticnet	top3_motif_score	0.19855773095171325	0.16164217818645696
logistic_elasticnet	top5_mean_score	0.19758685095991724	0.1116138389998575
logistic_elasticnet	UC_content_top3	0.19645718483364427	0.17589737292814306
logistic_elasticnet	shannon_entropy_top3	0.18291335062879283	0.1591517031308623
logistic_elasticnet	low_complexity_score_top3	0.182913350628775	0.15915170313086208
logistic_elasticnet	mean_top3_inverted_base_score	0.17878397738057866	0.13111036730843162
logistic_elasticnet	n_windows_bin_code	0.15261866668263438	0.146630679967641
logistic_elasticnet	top5_percent_mean_score	0.1522357265010418	0.07374001222610174
logistic_elasticnet	top3_structure_score	0.15167790823509575	0.07436366392444864
logistic_elasticnet	max_score	0.14752627131761512	0.06156669406550762
logistic_elasticnet	n_high_score_windows_0.95	0.14534421981137438	0.13453006907277948
logistic_elasticnet	motif_positive_fraction_top3_mean	0.14390284566596473	0.11218126311794903
logistic_elasticnet	min_base_score	0.13196415858522487	0.08057623950673536
logistic_elasticnet	max_motif_score	0.12950732646711738	0.07108111855159532
logistic_elasticnet	n_windows	0.1262113570289022	0.05836399640061184
logistic_elasticnet	top5_structure_score	0.12029673396964854	0.0762110665467791
logistic_elasticnet	top3_fraction_high_paired	0.11285515732312953	0.1060100873631348
logistic_elasticnet	paired_run_density_top3	0.11285515732312953	0.1060100873631348
logistic_elasticnet	U_content_top3	0.09803297384940687	0.028430008924402887
logistic_elasticnet	top_Urich_kmer_density_top3	0.09117280597067741	0.073272641875074
logistic_elasticnet	U_rich_paired_density_top3	0.07659962056836177	0.05975516540589902
logistic_elasticnet	max_base_score	0.058498370849373836	0.058327009840101696
logistic_elasticnet	reverse_complement_kmer_pair_density_top3	0.05443759156009724	0.05012683220936047
logistic_elasticnet	longest_high_paired_run_max	0.05113019315161923	0.03923639395041553
logistic_elasticnet	top3_mean_score	0.02295326126185574	0.0008046564059286431
logistic_l2	max_U_homopolymer_len_max	0.9086938557633364	0.8619723508166427
logistic_l2	fraction_high_score_windows_0.95	0.831592608732087	0.8749834305502127
logistic_l2	top5_motif_score	0.8091511446517622	0.787847022991031
logistic_l2	top10_mean_score	0.7639918320056196	0.8162519680989098
logistic_l2	UUUUUUU_count_max	0.632906812918248	0.6132778528707536
logistic_l2	log1p_n_windows	0.5413932156427286	0.5009947079909589
logistic_l2	max_structure_score	0.5041309467654914	0.5041924103349977
logistic_l2	fraction_high_score_windows_0.9	0.46568722526762096	0.4444590546901494
logistic_l2	mean_top5_inverted_base_score	0.46169986658207546	0.45869840755123426
logistic_l2	local_41nt_paired_mean_top3	0.4428511478596155	0.44065821756804147
logistic_l2	AU_content_top3	0.40108050810549906	0.42842964863227817
logistic_l2	local_81nt_paired_mean_top3	0.37985002887314967	0.36306371680358485
logistic_l2	AU_rich_paired_density_top3	0.34977132232362773	0.35589394863276713
logistic_l2	top3_structure_score	0.31018693537601033	0.2628357128638855
logistic_l2	top5_mean_score	0.3034782307322639	0.3055758531490011
logistic_l2	top3_paired_probability_mean	0.27044455596872213	0.3411820968647689
logistic_l2	top3_motif_score	0.2564824701618909	0.2635203721197996
logistic_l2	mean_top3_inverted_base_score	0.25422661150378156	0.25133672708568866
logistic_l2	top5_percent_mean_score	0.2539163543669152	0.2556016203875745
logistic_l2	n_high_score_windows_0.9	0.25375361511043115	0.28361844584259904
logistic_l2	UC_content_top3	0.24636106374328212	0.2194458759457751
logistic_l2	max_score	0.2252617023811201	0.13305162209529575
logistic_l2	n_high_score_windows_0.95	0.20195018156665415	0.18807142168926833
logistic_l2	U_content_top3	0.19087146081457798	0.14599276114145038
logistic_l2	shannon_entropy_top3	0.18467954073026963	0.16341526355355923
logistic_l2	low_complexity_score_top3	0.18467954073025256	0.1634152635535424
logistic_l2	motif_positive_fraction_top3_mean	0.17228940458938397	0.1518082539191994
logistic_l2	top3_mean_score	0.16668843937351657	0.18333095519780546
logistic_l2	min_base_score	0.16294194212131402	0.11949497191850536
logistic_l2	max_motif_score	0.1540441862577471	0.09336486064716121
logistic_l2	n_windows_bin_code	0.1535551831771228	0.1454587318325315
logistic_l2	n_windows	0.1471733871700085	0.07708652590133058
logistic_l2	top5_structure_score	0.13806458759873658	0.08784232964413059
logistic_l2	top3_fraction_high_paired	0.13752192259180837	0.1267542401166047
logistic_l2	paired_run_density_top3	0.13752192259180837	0.1267542401166047
logistic_l2	top_Urich_kmer_density_top3	0.11188789303645001	0.07479498121898386
logistic_l2	U_rich_paired_density_top3	0.0812840725224601	0.0672111414254916
logistic_l2	reverse_complement_kmer_pair_density_top3	0.06693073043742132	0.05873265542274865
logistic_l2	max_base_score	0.06396662541177293	0.061583482240830864
logistic_l2	longest_high_paired_run_max	0.05825349927267208	0.05064387126674809
