seed	label	split_name	top_k	universe_genes	truth_genes	overlap	precision	recall	expected_random	fold_enrichment	hypergeom_pvalue	score_name	aggregation	objective
1889382247	inverted_base_motif_structure_score__top3_mean_score	heldout	200	55382	85	5	0.025	0.058823529411764705	0.3069589397277094	16.288823529411765	1.5155851473831538e-05	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
1889382247	inverted_base_motif_structure_score__top3_mean_score	heldout	500	55382	85	8	0.016	0.09411764705882353	0.7673973493192734	10.424847058823529	1.0931368718162731e-06	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
1889382247	inverted_base_motif_structure_score__top3_mean_score	heldout	1000	55382	85	15	0.015	0.17647058823529413	1.5347946986385468	9.773294117647058	3.539891612987571e-11	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
800250632	inverted_base_motif_structure_score__top3_mean_score	heldout	50	55382	85	2	0.04	0.023529411764705882	0.07673973493192734	26.062117647058823	0.002718446297612528	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
800250632	inverted_base_motif_structure_score__top3_mean_score	heldout	100	55382	85	3	0.03	0.03529411764705882	0.1534794698638547	19.546588235294116	0.0005066767547709261	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
800250632	inverted_base_motif_structure_score__top3_mean_score	heldout	200	55382	85	6	0.03	0.07058823529411765	0.3069589397277094	19.546588235294116	7.096701621300616e-07	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
800250632	inverted_base_motif_structure_score__top3_mean_score	heldout	500	55382	85	8	0.016	0.09411764705882353	0.7673973493192734	10.424847058823529	1.0931368718162731e-06	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
800250632	inverted_base_motif_structure_score__top3_mean_score	heldout	1000	55382	85	14	0.014	0.16470588235294117	1.5347946986385468	9.121741176470588	4.148628118290772e-10	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
1539420525	inverted_base_motif_structure_score__top3_mean_score	heldout	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
1539420525	inverted_base_motif_structure_score__top3_mean_score	heldout	100	55382	85	1	0.01	0.011764705882352941	0.1534794698638547	6.515529411764706	0.14250070729653172	inverted_base_motif_structure_score	top3_mean_score	fixed_raw_baseline
