seed	label	split_name	top_k	universe_genes	truth_genes	overlap	precision	recall	expected_random	fold_enrichment	hypergeom_pvalue	score_name	aggregation	objective
336362904	inverted_base_motif_structure_score__max_score	heldout	1000	55382	85	14	0.014	0.16470588235294117	1.5347946986385468	9.121741176470588	4.148628118290772e-10	inverted_base_motif_structure_score	max_score	top1000_hypergeom
1989451307	inverted_base_motif_structure_score__top5_mean_score	heldout	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028	inverted_base_motif_structure_score	top5_mean_score	top200_overlap
1989451307	inverted_base_motif_structure_score__top5_mean_score	heldout	100	55382	85	3	0.03	0.03529411764705882	0.1534794698638547	19.546588235294116	0.0005066767547709261	inverted_base_motif_structure_score	top5_mean_score	top200_overlap
1989451307	inverted_base_motif_structure_score__top5_mean_score	heldout	200	55382	85	3	0.015	0.03529411764705882	0.3069589397277094	9.773294117647058	0.0036863461672057792	inverted_base_motif_structure_score	top5_mean_score	top200_overlap
1989451307	inverted_base_motif_structure_score__top5_mean_score	heldout	500	55382	85	5	0.01	0.058823529411764705	0.7673973493192734	6.515529411764706	0.0010657068517250707	inverted_base_motif_structure_score	top5_mean_score	top200_overlap
1989451307	inverted_base_motif_structure_score__top5_mean_score	heldout	1000	55382	85	12	0.012	0.1411764705882353	1.5347946986385468	7.818635294117647	4.4219732872074625e-08	inverted_base_motif_structure_score	top5_mean_score	top200_overlap
1989451307	inverted_base_motif_structure_score__top5_mean_score	heldout	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028	inverted_base_motif_structure_score	top5_mean_score	top200_hypergeom
1989451307	inverted_base_motif_structure_score__top5_mean_score	heldout	100	55382	85	3	0.03	0.03529411764705882	0.1534794698638547	19.546588235294116	0.0005066767547709261	inverted_base_motif_structure_score	top5_mean_score	top200_hypergeom
1989451307	inverted_base_motif_structure_score__top5_mean_score	heldout	200	55382	85	3	0.015	0.03529411764705882	0.3069589397277094	9.773294117647058	0.0036863461672057792	inverted_base_motif_structure_score	top5_mean_score	top200_hypergeom
1989451307	inverted_base_motif_structure_score__top5_mean_score	heldout	500	55382	85	5	0.01	0.058823529411764705	0.7673973493192734	6.515529411764706	0.0010657068517250707	inverted_base_motif_structure_score	top5_mean_score	top200_hypergeom
1989451307	inverted_base_motif_structure_score__top5_mean_score	heldout	1000	55382	85	12	0.012	0.1411764705882353	1.5347946986385468	7.818635294117647	4.4219732872074625e-08	inverted_base_motif_structure_score	top5_mean_score	top200_hypergeom
1989451307	inverted_base_motif_structure_score__top5_mean_score	heldout	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028	inverted_base_motif_structure_score	top5_mean_score	top200_fold
1989451307	inverted_base_motif_structure_score__top5_mean_score	heldout	100	55382	85	3	0.03	0.03529411764705882	0.1534794698638547	19.546588235294116	0.0005066767547709261	inverted_base_motif_structure_score	top5_mean_score	top200_fold
1989451307	inverted_base_motif_structure_score__top5_mean_score	heldout	200	55382	85	3	0.015	0.03529411764705882	0.3069589397277094	9.773294117647058	0.0036863461672057792	inverted_base_motif_structure_score	top5_mean_score	top200_fold
1989451307	inverted_base_motif_structure_score__top5_mean_score	heldout	500	55382	85	5	0.01	0.058823529411764705	0.7673973493192734	6.515529411764706	0.0010657068517250707	inverted_base_motif_structure_score	top5_mean_score	top200_fold
1989451307	inverted_base_motif_structure_score__top5_mean_score	heldout	1000	55382	85	12	0.012	0.1411764705882353	1.5347946986385468	7.818635294117647	4.4219732872074625e-08	inverted_base_motif_structure_score	top5_mean_score	top200_fold
1989451307	inverted_base_motif_structure_score__top3_mean_score	heldout	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028	inverted_base_motif_structure_score	top3_mean_score	weighted_top200_500_1000
1989451307	inverted_base_motif_structure_score__top3_mean_score	heldout	100	55382	85	1	0.01	0.011764705882352941	0.1534794698638547	6.515529411764706	0.14250070729653172	inverted_base_motif_structure_score	top3_mean_score	weighted_top200_500_1000
1989451307	inverted_base_motif_structure_score__top3_mean_score	heldout	200	55382	85	3	0.015	0.03529411764705882	0.3069589397277094	9.773294117647058	0.0036863461672057792	inverted_base_motif_structure_score	top3_mean_score	weighted_top200_500_1000
1989451307	inverted_base_motif_structure_score__top3_mean_score	heldout	500	55382	85	4	0.008	0.047058823529411764	0.7673973493192734	5.2124235294117645	0.007476082914805606	inverted_base_motif_structure_score	top3_mean_score	weighted_top200_500_1000
1989451307	inverted_base_motif_structure_score__top3_mean_score	heldout	1000	55382	85	12	0.012	0.1411764705882353	1.5347946986385468	7.818635294117647	4.4219732872074625e-08	inverted_base_motif_structure_score	top3_mean_score	weighted_top200_500_1000
1989451307	inverted_base_motif_structure_score__top3_mean_score	heldout	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028	inverted_base_motif_structure_score	top3_mean_score	top500_hypergeom
1989451307	inverted_base_motif_structure_score__top3_mean_score	heldout	100	55382	85	1	0.01	0.011764705882352941	0.1534794698638547	6.515529411764706	0.14250070729653172	inverted_base_motif_structure_score	top3_mean_score	top500_hypergeom
