audit_group	n_genes	baseline_top3_mean_score_mean	baseline_top3_mean_score_median	top3_CDS_fraction_mean	top3_CDS_fraction_median	top3_UTR_fraction_mean	top3_UTR_fraction_median	top3_inverted_repeat_score_mean_mean	top3_inverted_repeat_score_mean_median	top3_palindrome_score_mean_mean	top3_palindrome_score_mean_median	top3_reverse_complement_4mer_density_mean_mean	top3_reverse_complement_4mer_density_mean_median	top3_reverse_complement_5mer_density_mean_mean	top3_reverse_complement_5mer_density_mean_median	top3_reverse_complement_6mer_density_mean_mean	top3_reverse_complement_6mer_density_mean_median	top3_stem_like_score_mean_mean	top3_stem_like_score_mean_median	max_longest_high_paired_run_mean	max_longest_high_paired_run_median	top3_paired_run_density_mean_mean	top3_paired_run_density_mean_median	n_windows_mean	n_windows_median
Top200 false positives	175	0.9581787588	0.9686553166666668	0.08952380952380952	0.0	0.0	0.0	0.5819312889995786	0.5736808385974449	0.10255569810899759	0.06448869799123606	0.7172250423011844	0.7157360406091371	0.4492419825072885	0.4523809523809524	0.28433699633699633	0.27179487179487183	0.6704438045078223	0.659167595840082	25.017142857142858	24.0	0.5950095238095238	0.5916666666666667	62.53142857142857	47.0
Top200 true positives	25	0.9522006414666667	0.96476692	0.09333333333333332	0.0	0.0	0.0	0.5717395656651639	0.5811430273758048	0.06912837867152588	0.06272723328560892	0.7267005076142132	0.7461928934010152	0.4551020408163265	0.4506802721088435	0.2843076923076923	0.2837606837606838	0.6898417981222715	0.6789913446922613	26.24	25.0	0.6338666666666666	0.6233333333333334	68.72	50.0
truth outside Top200	258	0.8266107959224807	0.901680935	0.39793281653746765	0.3333333333333333	0.0	0.0	0.41608499811473115	0.4094432378333756	0.04433249050472518	0.04240964900863378	0.6193155733941945	0.6269035532994924	0.2837598217581606	0.27465986394557823	0.12078115682766846	0.11282051282051281	0.5004634056114899	0.49975965070853706	14.306201550387597	13.0	0.47857558139534884	0.4816666666666667	79.53488372093024	50.5
Top1000 false positives	950	0.9394341393543859	0.9555541249999999	0.09052631578947369	0.0	0.0	0.0	0.4954007852834004	0.48846246835731966	0.06447968743934547	0.05175061824808018	0.6635354884673613	0.6700507614213199	0.3606176154672395	0.35034013605442177	0.19277732793522268	0.17692307692307693	0.5912495374239387	0.5804354815496016	19.46	18.0	0.5454017543859649	0.545	68.91052631578947	49.0
Top1000 true positives	50	0.9490629740666668	0.96300977	0.07999999999999999	0.0	0.0	0.0	0.5319387311775274	0.5341144313316177	0.06184624061781421	0.05675734305175929	0.7011844331641286	0.7225042301184432	0.41105442176870743	0.41836734693877553	0.23596581196581196	0.2316239316239316	0.6297288734140112	0.6356058102862299	22.34	20.0	0.5820333333333333	0.5925	95.22	62.0
truth outside Top1000	233	0.8138088097911302	0.8961646133333333	0.4334763948497854	0.3333333333333333	0.0	0.0	0.40792481586417756	0.3998228282709791	0.0432346780520023	0.041541932404876566	0.6132691372010778	0.6209813874788493	0.2748277422557006	0.2670068027210884	0.11360918528300501	0.1094017094017094	0.4930436048503032	0.4972481092204893	13.86266094420601	13.0	0.4730364806866953	0.47833333333333333	75.00858369098712	49.0
