seed	candidate_name	top200_overlap	top200_fold_enrichment	top200_hypergeom_pvalue	top500_overlap	top500_hypergeom_pvalue
336362904	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.5__beta_hairpin_0.1	9	12.586818181818181	5.190545154851394e-08	19	3.369443414552566e-14
336362904	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.5__beta_hairpin_0.25	9	12.586818181818181	5.190545154851394e-08	23	9.140100293996939e-19
336362904	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.5__beta_hairpin_0.5	11	15.383888888888889	1.9865406411345842e-10	24	5.792402431394479e-20
336362904	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.5__beta_hairpin_1.0	13	18.180959595959596	5.156837834697902e-13	21	1.9547727806466843e-16
336362904	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_1.0__beta_hairpin_0.1	8	11.188282828282828	7.102170742175267e-07	13	3.850323107076825e-08
336362904	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_1.0__beta_hairpin_0.25	8	11.188282828282828	7.102170742175267e-07	13	3.850323107076825e-08
336362904	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_1.0__beta_hairpin_0.5	8	11.188282828282828	7.102170742175267e-07	17	4.595856023183095e-12
336362904	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_1.0__beta_hairpin_1.0	11	15.383888888888889	1.9865406411345842e-10	19	3.369443414552566e-14
1989451307	rbp_trace_v2_score_region__beta_0.1	11	15.383888888888889	1.9865406411345842e-10	26	2.014935397698134e-22
1989451307	rbp_trace_v2_score_region__beta_0.25	11	15.383888888888889	1.9865406411345842e-10	25	3.497356615639897e-21
1989451307	rbp_trace_v2_score_region__beta_0.5	11	15.383888888888889	1.9865406411345842e-10	25	3.497356615639897e-21
1989451307	rbp_trace_v2_score_region__beta_1.0	11	15.383888888888889	1.9865406411345842e-10	25	3.497356615639897e-21
1989451307	rbp_trace_v2_score_repeat__beta_0.1	7	9.789747474747475	8.56673938739102e-06	21	1.9547727806466843e-16
1989451307	rbp_trace_v2_score_repeat__beta_0.25	5	6.992676767676768	0.0008015629143630937	17	4.595856023183095e-12
1989451307	rbp_trace_v2_score_repeat__beta_0.5	5	6.992676767676768	0.0008015629143630937	13	3.850323107076825e-08
1989451307	rbp_trace_v2_score_repeat__beta_1.0	4	5.594141414141414	0.005948491253802921	11	2.217673353739476e-06
1989451307	rbp_trace_v2_score_hairpin__beta_0.1	15	20.9780303030303	9.54783311296878e-16	21	1.9547727806466843e-16
