embedding_row	binding_protein_id	motif_cache_index_row	motif_cache_protein_id	motif_cache_embedding_row	protein_id_match	embedding_row_match	train_usage_count	val_usage_count	test_usage_count	used_any_split	issue
55	EIF3D|HUMAN|O15371	55	EIF3D|HUMAN|O15371	55	True	True	7511	3378	0	True	
56	EIF3G|HUMAN|O75821	56	EIF3G|HUMAN|O75821	56	True	True	11933	0	0	True	
57	EIF3H|HUMAN|O15372	57	EIF3H|HUMAN|O15372	57	True	True	0	1929	0	True	
58	EIF4A3|HUMAN|P38919	58	EIF4A3|HUMAN|P38919	58	True	True	9500	1697	0	True	
59	EIF4G2|HUMAN|P78344	59	EIF4G2|HUMAN|P78344	59	True	True	1904	0	0	True	
60	ELAVL1|HUMAN|Q15717	60	ELAVL1|HUMAN|Q15717	60	True	True	44697	0	0	True	
61	EWSR1|HUMAN|Q01844	61	EWSR1|HUMAN|Q01844	61	True	True	7389	0	1905	True	
62	EXOSC5|HUMAN|Q9NQT4	62	EXOSC5|HUMAN|Q9NQT4	62	True	True	1913	1921	0	True	
63	FAM120A|HUMAN|Q9NZB2	63	FAM120A|HUMAN|Q9NZB2	63	True	True	0	1940	1955	True	
64	FASTKD2|HUMAN|Q9NYY8	64	FASTKD2|HUMAN|Q9NYY8	64	True	True	0	1931	1936	True	
65	FBL|HUMAN|P22087	65	FBL|HUMAN|P22087	65	True	True	7026	0	0	True	
66	FIP1L1|HUMAN|Q6UN15	66	FIP1L1|HUMAN|Q6UN15	66	True	True	7792	0	0	True	
67	FKBP4|HUMAN|Q02790	67	FKBP4|HUMAN|Q02790	67	True	True	1936	0	0	True	
68	FMR1|HUMAN|Q06787	68	FMR1|HUMAN|Q06787	68	True	True	9582	0	0	True	
69	FTO|HUMAN|Q9C0B1	69	FTO|HUMAN|Q9C0B1	69	True	True	0	1940	1920	True	
70	FUBP3|HUMAN|Q96I24	70	FUBP3|HUMAN|Q96I24	70	True	True	1961	0	0	True	
71	FUS|HUMAN|P35637	71	FUS|HUMAN|P35637	71	True	True	18287	5624	1957	True	
72	FXR1|HUMAN|P51114	72	FXR1|HUMAN|P51114	72	True	True	5853	0	0	True	
73	FXR2|HUMAN|P51116	73	FXR2|HUMAN|P51116	73	True	True	5890	0	1937	True	
74	G3BP1|HUMAN|Q13283	74	G3BP1|HUMAN|Q13283	74	True	True	1949	0	0	True	
75	GEMIN5|HUMAN|Q8TEQ6	75	GEMIN5|HUMAN|Q8TEQ6	75	True	True	0	1950	0	True	
76	GNL3|HUMAN|Q9BVP2	76	GNL3|HUMAN|Q9BVP2	76	True	True	0	0	1379	True	
77	GPKOW|HUMAN|Q92917	77	GPKOW|HUMAN|Q92917	77	True	True	0	0	1944	True	
78	GRSF1|HUMAN|Q12849	78	GRSF1|HUMAN|Q12849	78	True	True	1930	0	0	True	
79	GRWD1|HUMAN|Q9BQ67	79	GRWD1|HUMAN|Q9BQ67	79	True	True	0	1884	1950	True	
80	GTF2F1|HUMAN|P35269	80	GTF2F1|HUMAN|P35269	80	True	True	0	3844	0	True	
81	HLTF|HUMAN|Q14527	81	HLTF|HUMAN|Q14527	81	True	True	1279	1954	0	True	
82	HNRNPA1|HUMAN|P09651	82	HNRNPA1|HUMAN|P09651	82	True	True	34021	0	1267	True	
83	HNRNPA2B1|HUMAN|P22626	83	HNRNPA2B1|HUMAN|P22626	83	True	True	1957	0	0	True	
84	HNRNPC|HUMAN|P07910	84	HNRNPC|HUMAN|P07910	84	True	True	40349	0	3892	True	
85	HNRNPD|HUMAN|Q14103	85	HNRNPD|HUMAN|Q14103	85	True	True	9469	0	1963	True	
86	HNRNPF|HUMAN|P52597	86	HNRNPF|HUMAN|P52597	86	True	True	1969	0	0	True	
87	HNRNPH|HUMAN|P31943	87	HNRNPH|HUMAN|P31943	87	True	True	29516	0	1950	True	
88	HNRNPH1|HUMAN|P31943	88	HNRNPH1|HUMAN|P31943	88	True	True	3040	0	1367	True	
89	HNRNPK|HUMAN|P61978	89	HNRNPK|HUMAN|P61978	89	True	True	1951	0	1932	True	
90	HNRNPL|HUMAN|P14866	90	HNRNPL|HUMAN|P14866	90	True	True	1938	0	1879	True	
91	HNRNPM|HUMAN|P52272	91	HNRNPM|HUMAN|P52272	91	True	True	1973	3825	0	True	
92	HNRNPU|HUMAN|Q00839	92	HNRNPU|HUMAN|Q00839	92	True	True	3788	2946	3292	True	
93	HNRNPUL1|HUMAN|Q9BUJ2	93	HNRNPUL1|HUMAN|Q9BUJ2	93	True	True	1075	1966	0	True	
94	IGF2BP1|HUMAN|Q9NZI8	94	IGF2BP1|HUMAN|Q9NZI8	94	True	True	9532	0	1954	True	
95	IGF2BP2|HUMAN|Q9Y6M1	95	IGF2BP2|HUMAN|Q9Y6M1	95	True	True	18422	0	1938	True	
96	IGF2BP3|HUMAN|O00425	96	IGF2BP3|HUMAN|O00425	96	True	True	6946	1922	1956	True	
97	ILF3|HUMAN|Q12906	97	ILF3|HUMAN|Q12906	97	True	True	1926	1943	0	True	
98	IMP3|HUMAN|O00425	98	IMP3|HUMAN|O00425	98	True	True	0	0	1253	True	
99	KHDRBS1|HUMAN|Q07666	99	KHDRBS1|HUMAN|Q07666	99	True	True	1953	0	0	True	
100	KHSRP|HUMAN|Q92945	100	KHSRP|HUMAN|Q92945	100	True	True	1949	0	1915	True	
101	LARP4|HUMAN|Q71RC2	101	LARP4|HUMAN|Q71RC2	101	True	True	0	1959	1909	True	
102	LARP7|HUMAN|Q4G0J3	102	LARP7|HUMAN|Q4G0J3	102	True	True	0	3817	0	True	
103	LIN28A|HUMAN|Q9H9Z2	103	LIN28A|HUMAN|Q9H9Z2	103	True	True	11533	0	0	True	
104	LIN28B|HUMAN|Q6ZN17	104	LIN28B|HUMAN|Q6ZN17	104	True	True	16149	1923	0	True	
105	LSM11|HUMAN|P83369	105	LSM11|HUMAN|P83369	105	True	True	1941	1908	0	True	
106	MATR3|HUMAN|P43243	106	MATR3|HUMAN|P43243	106	True	True	1961	1951	0	True	
107	MBNL2|HUMAN|Q5VZF2	107	MBNL2|HUMAN|Q5VZF2	107	True	True	5586	4215	5292	True	
108	METAP2|HUMAN|P50579	108	METAP2|HUMAN|P50579	108	True	True	0	0	1921	True	
109	METTL14|HUMAN|Q9HCE5	109	METTL14|HUMAN|Q9HCE5	109	True	True	4788	0	736	True	
110	METTL3|HUMAN|Q86U44	110	METTL3|HUMAN|Q86U44	110	True	True	10092	0	0	True	
111	MKRN1|HUMAN|Q9UHC7	111	MKRN1|HUMAN|Q9UHC7	111	True	True	7270	0	1420	True	
112	MOV10|HUMAN|Q9HCE1	112	MOV10|HUMAN|Q9HCE1	112	True	True	3922	0	0	True	
113	MTPAP|HUMAN|Q9NVV4	113	MTPAP|HUMAN|Q9NVV4	113	True	True	1944	0	0	True	
114	NCBP2|HUMAN|P52298	114	NCBP2|HUMAN|P52298	114	True	True	0	1927	1952	True	
115	NCBP3|HUMAN|Q53F19	115	NCBP3|HUMAN|Q53F19	115	True	True	3113	0	0	True	
116	NIP7|HUMAN|Q9Y221	116	NIP7|HUMAN|Q9Y221	116	True	True	1951	0	0	True	
117	NIPBL|HUMAN|Q6KC79	117	NIPBL|HUMAN|Q6KC79	117	True	True	0	1942	0	True	
118	NKRF|HUMAN|O15226	118	NKRF|HUMAN|O15226	118	True	True	1961	0	0	True	
119	NOL12|HUMAN|Q9UGY1	119	NOL12|HUMAN|Q9UGY1	119	True	True	1945	0	0	True	
120	NOLC1|HUMAN|Q14978	120	NOLC1|HUMAN|Q14978	120	True	True	0	1924	1879	True	
121	NONO|HUMAN|Q15233	121	NONO|HUMAN|Q15233	121	True	True	0	0	1944	True	
122	NOP56|HUMAN|O00567	122	NOP56|HUMAN|O00567	122	True	True	3907	0	0	True	
123	NOP58|HUMAN|Q9Y2X3	123	NOP58|HUMAN|Q9Y2X3	123	True	True	6974	0	0	True	
124	NPM1|HUMAN|A0A0S2Z491	124	NPM1|HUMAN|A0A0S2Z491	124	True	True	0	1008	0	True	
125	NSUN2|HUMAN|Q08J23	125	NSUN2|HUMAN|Q08J23	125	True	True	0	1092	0	True	
126	NUDT21|HUMAN|O43809	126	NUDT21|HUMAN|O43809	126	True	True	7721	0	0	True	
127	NXF1|HUMAN|Q9UBU9	127	NXF1|HUMAN|Q9UBU9	127	True	True	6350	1298	0	True	
128	PABPC4|HUMAN|Q13310	128	PABPC4|HUMAN|Q13310	128	True	True	0	1934	0	True	
129	PABPN1|HUMAN|Q86U42	129	PABPN1|HUMAN|Q86U42	129	True	True	0	0	1914	True	
130	PCBP1|HUMAN|Q15365	130	PCBP1|HUMAN|Q15365	130	True	True	0	1945	1928	True	
131	PCBP2|HUMAN|Q15366	131	PCBP2|HUMAN|Q15366	131	True	True	0	0	1966	True	
132	PHF6|HUMAN|Q8IWS0	132	PHF6|HUMAN|Q8IWS0	132	True	True	0	0	1924	True	
133	POLR2G|HUMAN|P62487	133	POLR2G|HUMAN|P62487	133	True	True	0	0	1019	True	
134	PPIG|HUMAN|Q13427	134	PPIG|HUMAN|Q13427	134	True	True	0	0	1916	True	
135	PPIL4|HUMAN|Q8WUA2	135	PPIL4|HUMAN|Q8WUA2	135	True	True	1936	0	0	True	
136	PRPF4|HUMAN|O43172	136	PRPF4|HUMAN|O43172	136	True	True	0	0	1948	True	
137	PRPF8|HUMAN|Q6P2Q9	137	PRPF8|HUMAN|Q6P2Q9	137	True	True	1941	0	1925	True	
138	PTBP1|HUMAN|P26599	138	PTBP1|HUMAN|P26599	138	True	True	29661	7346	1508	True	
139	PUM1|HUMAN|Q14671	139	PUM1|HUMAN|Q14671	139	True	True	0	1943	0	True	
140	PUM2|HUMAN|Q8TB72	140	PUM2|HUMAN|Q8TB72	140	True	True	5865	0	0	True	
141	PUS1|HUMAN|Q9Y606	141	PUS1|HUMAN|Q9Y606	141	True	True	0	1539	0	True	
142	QKI|HUMAN|Q96PU8	142	QKI|HUMAN|Q96PU8	142	True	True	12861	0	1843	True	
143	RBFOX1|HUMAN|Q9NWB1	143	RBFOX1|HUMAN|Q9NWB1	143	True	True	7052	0	0	True	
144	RBFOX2|HUMAN|O43251	144	RBFOX2|HUMAN|O43251	144	True	True	0	1916	1938	True	
145	RBM10|HUMAN|P98175	145	RBM10|HUMAN|P98175	145	True	True	3934	0	0	True	
146	RBM15|HUMAN|Q96T37	146	RBM15|HUMAN|Q96T37	146	True	True	9442	0	0	True	
147	RBM15B|HUMAN|Q8NDT2	147	RBM15B|HUMAN|Q8NDT2	147	True	True	5723	0	0	True	
148	RBM22|HUMAN|Q9NW64	148	RBM22|HUMAN|Q9NW64	148	True	True	3882	0	0	True	
149	RBM47|HUMAN|A0AV96	149	RBM47|HUMAN|A0AV96	149	True	True	6877	0	0	True	
150	RBM5|HUMAN|P52756	150	RBM5|HUMAN|P52756	150	True	True	1964	0	0	True	
151	RBPMS|HUMAN|Q93062	151	RBPMS|HUMAN|Q93062	151	True	True	1965	1463	0	True	
152	RPS11|HUMAN|P62280	152	RPS11|HUMAN|P62280	152	True	True	1312	0	0	True	
153	RPS3|HUMAN|P23396	153	RPS3|HUMAN|P23396	153	True	True	1944	0	1923	True	
154	RTCB|HUMAN|Q9Y3I0	154	RTCB|HUMAN|Q9Y3I0	154	True	True	3928	0	0	True	
155	SAFB|HUMAN|Q15424	155	SAFB|HUMAN|Q15424	155	True	True	1948	0	1946	True	
156	SAFB2|HUMAN|Q14151	156	SAFB2|HUMAN|Q14151	156	True	True	1942	0	0	True	
157	SDAD1|HUMAN|Q9NVU7	157	SDAD1|HUMAN|Q9NVU7	157	True	True	1968	0	1934	True	
158	SDOS|HUMAN|Q9BRJ7	158	SDOS|HUMAN|Q9BRJ7	158	True	True	10366	0	0	True	
159	SERBP1|HUMAN|Q8NC51	159	SERBP1|HUMAN|Q8NC51	159	True	True	0	1941	0	True	
160	SF3A3|HUMAN|Q12874	160	SF3A3|HUMAN|Q12874	160	True	True	0	1923	0	True	
161	SF3B1|HUMAN|O75533	161	SF3B1|HUMAN|O75533	161	True	True	1955	0	0	True	
162	SF3B4|HUMAN|Q15427	162	SF3B4|HUMAN|Q15427	162	True	True	1925	0	1934	True	
163	SFPQ|HUMAN|P23246	163	SFPQ|HUMAN|P23246	163	True	True	0	1960	0	True	
164	SLBP|HUMAN|Q14493	164	SLBP|HUMAN|Q14493	164	True	True	1149	0	0	True	
165	SLTM|HUMAN|Q9NWH9	165	SLTM|HUMAN|Q9NWH9	165	True	True	1902	0	1953	True	
166	SMN|HUMAN|P63162	166	SMN|HUMAN|P63162	166	True	True	6760	0	0	True	
167	SMNDC1|HUMAN|O75940	167	SMNDC1|HUMAN|O75940	167	True	True	1945	1873	0	True	
168	SND1|HUMAN|Q7KZF4	168	SND1|HUMAN|Q7KZF4	168	True	True	3829	0	0	True	
169	SRRM4|HUMAN|A7MD48	169	SRRM4|HUMAN|A7MD48	169	True	True	11032	0	0	True	
170	SRSF1|HUMAN|Q07955	170	SRSF1|HUMAN|Q07955	170	True	True	46765	0	1888	True	
171	SRSF10|HUMAN|O75494	171	SRSF10|HUMAN|O75494	171	True	True	3921	1579	0	True	
172	SRSF3|HUMAN|P84103	172	SRSF3|HUMAN|P84103	172	True	True	5737	0	0	True	
173	SRSF7|HUMAN|Q16629	173	SRSF7|HUMAN|Q16629	173	True	True	3915	0	3863	True	
174	SRSF9|HUMAN|Q13242	174	SRSF9|HUMAN|Q13242	174	True	True	1961	0	1952	True	
175	SSB|HUMAN|P05455	175	SSB|HUMAN|P05455	175	True	True	7442	0	0	True	
176	STAU1|HUMAN|O95793	176	STAU1|HUMAN|O95793	176	True	True	5711	0	0	True	
177	STAU2|HUMAN|Q9NUL3	177	STAU2|HUMAN|Q9NUL3	177	True	True	1939	0	0	True	
178	SUB1|HUMAN|P53999	178	SUB1|HUMAN|P53999	178	True	True	0	0	1939	True	
179	SUGP2|HUMAN|Q8IX01	179	SUGP2|HUMAN|Q8IX01	179	True	True	0	0	1952	True	
180	SUPV3L1|HUMAN|Q8IYB8	180	SUPV3L1|HUMAN|Q8IYB8	180	True	True	0	0	3880	True	
181	TAF15|HUMAN|Q92804	181	TAF15|HUMAN|Q92804	181	True	True	9269	1225	5036	True	
182	TARBP2|HUMAN|Q15633	182	TARBP2|HUMAN|Q15633	182	True	True	3461	0	1968	True	
183	TARDBP|HUMAN|Q13148	183	TARDBP|HUMAN|Q13148	183	True	True	36030	0	2853	True	
184	TBRG4|HUMAN|Q969Z0	184	TBRG4|HUMAN|Q969Z0	184	True	True	1888	1923	0	True	
185	TDP43|HUMAN|Q13148	185	TDP43|HUMAN|Q13148	185	True	True	5508	0	0	True	
186	TIA1|HUMAN|P31483	186	TIA1|HUMAN|P31483	186	True	True	12969	1936	0	True	
187	TIAL1|HUMAN|Q01085	187	TIAL1|HUMAN|Q01085	187	True	True	12854	0	0	True	
188	TNRC6A|HUMAN|Q8NDV7	188	TNRC6A|HUMAN|Q8NDV7	188	True	True	2270	0	0	True	
189	TNRC6B|HUMAN|Q9UPQ9	189	TNRC6B|HUMAN|Q9UPQ9	189	True	True	0	1170	0	True	
190	TNRC6C|HUMAN|Q9HCJ0	190	TNRC6C|HUMAN|Q9HCJ0	190	True	True	2049	0	0	True	
191	TRA2A|HUMAN|Q13595	191	TRA2A|HUMAN|Q13595	191	True	True	1951	1881	0	True	
192	TROVE2|HUMAN|P10155	192	TROVE2|HUMAN|P10155	192	True	True	0	3814	0	True	
193	U2AF1|HUMAN|Q01081	193	U2AF1|HUMAN|Q01081	193	True	True	3879	0	0	True	
194	U2AF2|HUMAN|P26368	194	U2AF2|HUMAN|P26368	194	True	True	46359	0	0	True	
195	U2AF65|HUMAN|P26368	195	U2AF65|HUMAN|P26368	195	True	True	7783	4056	6009	True	
196	UCHL5|HUMAN|Q9Y5K5	196	UCHL5|HUMAN|Q9Y5K5	196	True	True	3837	0	0	True	
197	UNR|HUMAN|O75534	197	UNR|HUMAN|O75534	197	True	True	7373	0	0	True	
198	UPF1|HUMAN|Q92900	198	UPF1|HUMAN|Q92900	198	True	True	35892	3820	0	True	
199	UTP18|HUMAN|Q9Y5J1	199	UTP18|HUMAN|Q9Y5J1	199	True	True	1950	0	1941	True	
200	UTP3|HUMAN|Q9NQZ2	200	UTP3|HUMAN|Q9NQZ2	200	True	True	0	0	1950	True	
201	WDR3|HUMAN|Q9UNX4	201	WDR3|HUMAN|Q9UNX4	201	True	True	1943	0	0	True	
202	WDR33|HUMAN|Q9C0J8	202	WDR33|HUMAN|Q9C0J8	202	True	True	3906	0	0	True	
203	WDR43|HUMAN|Q15061	203	WDR43|HUMAN|Q15061	203	True	True	1941	0	1960	True	
204	WRN|HUMAN|Q14191	204	WRN|HUMAN|Q14191	204	True	True	1947	0	0	True	
205	WTAP|HUMAN|Q15007	205	WTAP|HUMAN|Q15007	205	True	True	3697	0	0	True	
206	XPO5|HUMAN|Q9HAV4	206	XPO5|HUMAN|Q9HAV4	206	True	True	0	1906	0	True	
207	XRCC6|HUMAN|P12956	207	XRCC6|HUMAN|P12956	207	True	True	0	3872	0	True	
208	XRN2|HUMAN|Q9H0D6	208	XRN2|HUMAN|Q9H0D6	208	True	True	1960	0	1955	True	
209	YBX3|HUMAN|P16989	209	YBX3|HUMAN|P16989	209	True	True	1816	1870	0	True	
210	YTHDC1|HUMAN|Q96MU7	210	YTHDC1|HUMAN|Q96MU7	210	True	True	5590	1926	1710	True	
211	YTHDC2|HUMAN|Q9H6S0	211	YTHDC2|HUMAN|Q9H6S0	211	True	True	10079	0	0	True	
212	YTHDF1|HUMAN|Q9BYJ9	212	YTHDF1|HUMAN|Q9BYJ9	212	True	True	8540	0	0	True	
213	YTHDF2|HUMAN|Q9Y5A9	213	YTHDF2|HUMAN|Q9Y5A9	213	True	True	19830	0	0	True	
214	YTHDF3|HUMAN|Q7Z739	214	YTHDF3|HUMAN|Q7Z739	214	True	True	4705	0	0	True	
215	YWHAG|HUMAN|P61981	215	YWHAG|HUMAN|P61981	215	True	True	0	1927	0	True	
216	ZC3H11A|HUMAN|O75152	216	ZC3H11A|HUMAN|O75152	216	True	True	0	1939	1940	True	
217	ZC3H7B|HUMAN|Q9UGR2	217	ZC3H7B|HUMAN|Q9UGR2	217	True	True	3916	0	0	True	
218	ZC3H8|HUMAN|Q8N5P1	218	ZC3H8|HUMAN|Q8N5P1	218	True	True	0	1275	0	True	
219	ZNF622|HUMAN|Q969S3	219	ZNF622|HUMAN|Q969S3	219	True	True	1928	0	0	True	
220	ZNF800|HUMAN|Q2TB10	220	ZNF800|HUMAN|Q2TB10	220	True	True	3892	0	0	True	
221	ZRANB2|HUMAN|O95218	221	ZRANB2|HUMAN|O95218	221	True	True	1959	0	0	True	
222	AGO2|MOUSE|Q8CJG0	222	AGO2|MOUSE|Q8CJG0	222	True	True	100849	4167	9689	True	
223	APC|MOUSE|Q61315	223	APC|MOUSE|Q61315	223	True	True	10569	1862	0	True	
224	CELF1|MOUSE|P28659	224	CELF1|MOUSE|P28659	224	True	True	3912	0	0	True	
225	CELF2|MOUSE|Q9Z0H4	225	CELF2|MOUSE|Q9Z0H4	225	True	True	5530	0	0	True	
226	CELF4|MOUSE|Q7TSY6	226	CELF4|MOUSE|Q7TSY6	226	True	True	12885	0	0	True	
227	CIRBP|MOUSE|P60824	227	CIRBP|MOUSE|P60824	227	True	True	5770	2974	0	True	
228	CPSF6|MOUSE|Q6NVF9	228	CPSF6|MOUSE|Q6NVF9	228	True	True	1976	3610	1841	True	
229	CREBBP|MOUSE|P45481	229	CREBBP|MOUSE|P45481	229	True	True	6336	0	0	True	
230	ELAVL1|MOUSE|P70372	230	ELAVL1|MOUSE|P70372	230	True	True	1148	0	0	True	
231	EZH2|MOUSE|Q61188	231	EZH2|MOUSE|Q61188	231	True	True	4942	1977	2998	True	
232	FAM120A|MOUSE|Q6A0A9	232	FAM120A|MOUSE|Q6A0A9	232	True	True	6439	0	0	True	
233	FUS|MOUSE|P56959	233	FUS|MOUSE|P56959	233	True	True	20737	1227	1955	True	
234	HNRNPR|MOUSE|Q8VHM5	234	HNRNPR|MOUSE|Q8VHM5	234	True	True	7809	9202	1952	True	
235	LIN28A|MOUSE|Q8K3Y3	235	LIN28A|MOUSE|Q8K3Y3	235	True	True	9651	0	0	True	
