label	seed	top_k	universe_genes	truth_genes	overlap	precision	recall	expected_random	fold_enrichment	hypergeom_pvalue
baseline_score	336362904	50	55382	85	0	0.0	0.0	0.07673973493192734	0.0	1.0
baseline_score	336362904	100	55382	85	3	0.03	0.03529411764705882	0.1534794698638547	19.546588235294116	0.0005066767547709261
baseline_score	336362904	200	55382	85	5	0.025	0.058823529411764705	0.3069589397277094	16.288823529411765	1.5155851473831538e-05
baseline_score	336362904	500	55382	85	9	0.018	0.10588235294117647	0.7673973493192734	11.72795294117647	8.319009241327734e-08
baseline_score	336362904	1000	55382	85	16	0.016	0.18823529411764706	1.5347946986385468	10.424847058823529	2.7913285098061328e-12
baseline_score	1989451307	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028
baseline_score	1989451307	100	55382	85	1	0.01	0.011764705882352941	0.1534794698638547	6.515529411764706	0.14250070729653172
baseline_score	1989451307	200	55382	85	3	0.015	0.03529411764705882	0.3069589397277094	9.773294117647058	0.0036863461672057792
baseline_score	1989451307	500	55382	85	4	0.008	0.047058823529411764	0.7673973493192734	5.2124235294117645	0.007476082914805606
baseline_score	1989451307	1000	55382	85	12	0.012	0.1411764705882353	1.5347946986385468	7.818635294117647	4.4219732872074625e-08
baseline_score	1289457136	50	55382	85	0	0.0	0.0	0.07673973493192734	0.0	1.0
baseline_score	1289457136	100	55382	85	2	0.02	0.023529411764705882	0.1534794698638547	13.031058823529412	0.010453459425604047
baseline_score	1289457136	200	55382	85	5	0.025	0.058823529411764705	0.3069589397277094	16.288823529411765	1.5155851473831538e-05
baseline_score	1289457136	500	55382	85	9	0.018	0.10588235294117647	0.7673973493192734	11.72795294117647	8.319009241327734e-08
baseline_score	1289457136	1000	55382	85	15	0.015	0.17647058823529413	1.5347946986385468	9.773294117647058	3.539891612987571e-11
baseline_score	1889382247	50	55382	85	2	0.04	0.023529411764705882	0.07673973493192734	26.062117647058823	0.002718446297612528
baseline_score	1889382247	100	55382	85	2	0.02	0.023529411764705882	0.1534794698638547	13.031058823529412	0.010453459425604047
baseline_score	1889382247	200	55382	85	5	0.025	0.058823529411764705	0.3069589397277094	16.288823529411765	1.5155851473831538e-05
baseline_score	1889382247	500	55382	85	8	0.016	0.09411764705882353	0.7673973493192734	10.424847058823529	1.0931368718162731e-06
baseline_score	1889382247	1000	55382	85	15	0.015	0.17647058823529413	1.5347946986385468	9.773294117647058	3.539891612987571e-11
baseline_score	800250632	50	55382	85	2	0.04	0.023529411764705882	0.07673973493192734	26.062117647058823	0.002718446297612528
baseline_score	800250632	100	55382	85	3	0.03	0.03529411764705882	0.1534794698638547	19.546588235294116	0.0005066767547709261
baseline_score	800250632	200	55382	85	6	0.03	0.07058823529411765	0.3069589397277094	19.546588235294116	7.096701621300616e-07
baseline_score	800250632	500	55382	85	8	0.016	0.09411764705882353	0.7673973493192734	10.424847058823529	1.0931368718162731e-06
baseline_score	800250632	1000	55382	85	14	0.014	0.16470588235294117	1.5347946986385468	9.121741176470588	4.148628118290772e-10
baseline_score	1539420525	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028
baseline_score	1539420525	100	55382	85	1	0.01	0.011764705882352941	0.1534794698638547	6.515529411764706	0.14250070729653172
baseline_score	1539420525	200	55382	85	5	0.025	0.058823529411764705	0.3069589397277094	16.288823529411765	1.5155851473831538e-05
baseline_score	1539420525	500	55382	85	8	0.016	0.09411764705882353	0.7673973493192734	10.424847058823529	1.0931368718162731e-06
baseline_score	1539420525	1000	55382	85	11	0.011	0.12941176470588237	1.5347946986385468	7.1670823529411765	3.9813967814760067e-07
baseline_score	1778277625	50	55382	85	0	0.0	0.0	0.07673973493192734	0.0	1.0
baseline_score	1778277625	100	55382	85	2	0.02	0.023529411764705882	0.1534794698638547	13.031058823529412	0.010453459425604047
baseline_score	1778277625	200	55382	85	8	0.04	0.09411764705882353	0.3069589397277094	26.062117647058823	9.53159274910495e-10
baseline_score	1778277625	500	55382	85	11	0.022	0.12941176470588237	0.7673973493192734	14.334164705882353	3.4057139975216167e-10
baseline_score	1778277625	1000	55382	85	20	0.02	0.23529411764705882	1.5347946986385468	13.031058823529412	5.233586345763059e-17
baseline_score	1624446027	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028
baseline_score	1624446027	100	55382	85	2	0.02	0.023529411764705882	0.1534794698638547	13.031058823529412	0.010453459425604047
baseline_score	1624446027	200	55382	85	5	0.025	0.058823529411764705	0.3069589397277094	16.288823529411765	1.5155851473831538e-05
baseline_score	1624446027	500	55382	85	8	0.016	0.09411764705882353	0.7673973493192734	10.424847058823529	1.0931368718162731e-06
baseline_score	1624446027	1000	55382	85	14	0.014	0.16470588235294117	1.5347946986385468	9.121741176470588	4.148628118290772e-10
baseline_score	1797759645	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028
baseline_score	1797759645	100	55382	85	1	0.01	0.011764705882352941	0.1534794698638547	6.515529411764706	0.14250070729653172
baseline_score	1797759645	200	55382	85	2	0.01	0.023529411764705882	0.3069589397277094	6.515529411764706	0.03809108791724583
baseline_score	1797759645	500	55382	85	12	0.024	0.1411764705882353	0.7673973493192734	15.637270588235294	1.8639910687386197e-11
baseline_score	1797759645	1000	55382	85	18	0.018	0.21176470588235294	1.5347946986385468	11.72795294117647	1.3888759226249115e-14
baseline_score	748698052	50	55382	85	0	0.0	0.0	0.07673973493192734	0.0	1.0
baseline_score	748698052	100	55382	85	2	0.02	0.023529411764705882	0.1534794698638547	13.031058823529412	0.010453459425604047
baseline_score	748698052	200	55382	85	5	0.025	0.058823529411764705	0.3069589397277094	16.288823529411765	1.5155851473831538e-05
baseline_score	748698052	500	55382	85	10	0.02	0.11764705882352941	0.7673973493192734	13.031058823529412	5.621894708032004e-09
baseline_score	748698052	1000	55382	85	16	0.016	0.18823529411764706	1.5347946986385468	10.424847058823529	2.7913285098061328e-12
