label	seed	top_k	universe_genes	truth_genes	overlap	precision	recall	expected_random	fold_enrichment	hypergeom_pvalue
baseline_full_truth		50	55382	283	4	0.08	0.014134275618374558	0.25549817630276983	15.655689045936397	0.00012775212668203554
baseline_full_truth		100	55382	283	8	0.08	0.028268551236749116	0.5109963526055397	15.655689045936397	5.217754481474298e-08
baseline_full_truth		200	55382	283	16	0.08	0.05653710247349823	1.0219927052110793	15.655689045936397	1.029793422698481e-14
baseline_full_truth		500	55382	283	28	0.056	0.0989399293286219	2.5549817630276985	10.958982332155477	1.1884176030787299e-20
baseline_full_truth		1000	55382	283	48	0.048	0.1696113074204947	5.109963526055397	9.393413427561837	7.037724790867853e-32
