audit_group	n_genes	baseline_score_mean	baseline_score_median	n_windows_mean	n_windows_median	max_score_mean	max_score_median	top3_mean_score_mean	top3_mean_score_median
Top200 false positives	184	0.99174832	0.991326725	104.30978260869566	81.0	0.9941573985869564	0.994097055	0.99174832	0.991326725
Top200 true positives	16	0.9918279339583334	0.9910991866666665	179.4375	146.0	0.99360485375	0.9929333	0.9918279339583334	0.9910991866666665
truth outside Top200	267	0.8284694922896378	0.9045570333333334	72.53558052434457	49.0	0.8636829241573035	0.935211	0.8284694922896378	0.9045570333333334
Top1000 false positives	952	0.9837164675875351	0.9830537699999999	96.91071428571429	74.0	0.9879855461659665	0.987834365	0.9837164675875351	0.9830537699999999
Top1000 true positives	48	0.9851436465972222	0.98515195	137.4375	101.0	0.9894942531250001	0.9893415	0.9851436465972222	0.98515195
truth outside Top1000	235	0.8075902397787234	0.8906722666666665	66.55744680851063	45.0	0.8468310394042553	0.91814363	0.8075902397787234	0.8906722666666665
